symbol,threshold,cost_pips,trades,coverage,selected_accuracy,mean_net_bps,sum_net_bps,net_win_rate
EURNZD,0.6,1.5,156,0.11764705882352941,0.5576923076923077,0.9680207016181316,151.01122945242852,0.5256410256410257
EURNZD,0.6,3.0,156,0.11764705882352941,0.5576923076923077,0.16289112388198257,25.411015325589283,0.4935897435897436
EURNZD,0.65,0.0,12,0.00904977375565611,0.5833333333333334,1.665439022476104,19.98526826971325,0.5
EURNZD,0.65,1.5,12,0.00904977375565611,0.5833333333333334,0.8802495759638402,10.562994911566083,0.4166666666666667
EURNZD,0.65,3.0,12,0.00904977375565611,0.5833333333333334,0.09506012945157553,1.1407215534189064,0.4166666666666667
EURNZD,0.7,0.0,0,0.0,,,0.0,
EURNZD,0.7,1.5,0,0.0,,,0.0,
EURNZD,0.7,3.0,0,0.0,,,0.0,
EURUSD,0.5,0.0,2879,1.0,0.5158040986453629,0.2396104763255589,689.838561341284,0.5130253560263981
EURUSD,0.5,1.5,2879,1.0,0.5158040986453629,-1.1136574192937658,-3206.219710146752,0.4633553317124001
EURUSD,0.5,3.0,2879,1.0,0.5158040986453629,-2.46692531491309,-7102.277981634787,0.4109065647794373
EURUSD,0.55,0.0,450,0.15630427231677665,0.5288888888888889,-0.7917049393777168,-356.26722271997255,0.5288888888888889
EURUSD,0.55,1.5,450,0.15630427231677665,0.5288888888888889,-2.1478269649821327,-966.5221342419596,0.44666666666666666
EURUSD,0.55,3.0,450,0.15630427231677665,0.5288888888888889,-3.503948990586548,-1576.7770457639467,0.39111111111111113
EURUSD,0.6,0.0,56,0.019451198332754428,0.5178571428571429,-0.14833225739537997,-8.306606414141278,0.5178571428571429
EURUSD,0.6,1.5,56,0.019451198332754428,0.5178571428571429,-1.5106322063527664,-84.59540355575491,0.42857142857142855
EURUSD,0.6,3.0,56,0.019451198332754428,0.5178571428571429,-2.8729321553101532,-160.88420069736858,0.375
EURUSD,0.65,0.0,0,0.0,,,0.0,
EURUSD,0.65,1.5,0,0.0,,,0.0,
EURUSD,0.65,3.0,0,0.0,,,0.0,
EURUSD,0.7,0.0,0,0.0,,,0.0,
EURUSD,0.7,1.5,0,0.0,,,0.0,
EURUSD,0.7,3.0,0,0.0,,,0.0,
GBPAUD,0.5,0.0,2367,1.0,0.5289395859738065,0.6406503549154977,1516.419390084983,0.5285171102661597
GBPAUD,0.5,1.5,2367,1.0,0.5289395859738065,-0.13332835233295143,-315.588209972096,0.5019011406844106
GBPAUD,0.5,3.0,2367,1.0,0.5289395859738065,-0.9073070595814006,-2147.595810029175,0.47739754964089565
