symbol,task,horizon,bundle,model,development_balanced_accuracy,confidence_threshold,previously_inspected,accuracy_lift_ci_low,accuracy_lift_ci_high,n,accuracy,balanced_accuracy,auc,brier,majority_accuracy,baseline_brier,persistence_accuracy,persistence_balanced_accuracy,positive_rate,confident_n,confident_coverage,confident_accuracy,confident_positive_rate,confident_baseline_accuracy,confident_balanced_accuracy,confident_majority_accuracy
CADCHF,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0361883525708289,0.1049449108079748,1906,0.5535152151101784,0.5599758550416445,0.5785431065036328,0.2447036147212292,0.4616998950682057,0.2508008066208452,0.4837355718782791,0.4888545543150806,0.4616998950682057,1906,1.0,0.5535152151101784,0.4616998950682057,0.4837355718782791,0.5599758550416445,0.4616998950682057
CADCHF,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0,0.1173469387755102,196,0.7040816326530612,0.6361226808027263,0.7362110311750599,0.1890375488000073,0.7091836734693877,0.2124379493832432,0.6428571428571429,0.6033068282216332,0.2908163265306122,91,0.4642857142857143,0.8681318681318682,0.1538461538461538,0.7912087912087912,0.7175324675324675,0.8461538461538461
CADJPY,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0174823222925195,0.0673706736136955,2687,0.5202828433196874,0.5200242106604469,0.5278610961833583,0.2496071715496411,0.5005582433941198,0.2501564512701493,0.4774841831038333,0.4774494595537925,0.5005582433941198,2687,1.0,0.5202828433196874,0.5005582433941198,0.4774841831038333,0.5200242106604469,0.5005582433941198
CADJPY,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0248226950354609,0.1206560283687942,282,0.7411347517730497,0.6868131868131868,0.8196703296703297,0.1677346662290613,0.6453900709219859,0.2306732286747605,0.6702127659574468,0.6476373626373626,0.3546099290780142,171,0.6063829787234043,0.847953216374269,0.2573099415204678,0.7719298245614035,0.7565318539727989,0.7426900584795322
CHFJPY,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,-0.0167059891107078,0.0464791288566243,2755,0.5088929219600726,0.5093367064590086,0.5189148022241548,0.2494117905448844,0.5045372050816697,0.2500121052450592,0.4929219600725952,0.4926924394550294,0.5045372050816697,2755,1.0,0.5088929219600726,0.5045372050816697,0.4929219600725952,0.5093367064590086,0.5045372050816697
CHFJPY,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0069204152249134,0.0934256055363321,289,0.7058823529411765,0.6292359667359667,0.7540020790020789,0.1905821334366938,0.6401384083044983,0.230853443161241,0.6643598615916955,0.6431133056133056,0.3598615916955017,175,0.6055363321799307,0.7885714285714286,0.24,0.7257142857142858,0.6165413533834586,0.76
EURAUD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0392323723515109,0.093096561306009,2879,0.5474122959360889,0.5141272743185553,0.5559372963931811,0.246059213874756,0.5432441820076416,0.2491878008685018,0.4807224730809308,0.48313479136075,0.4567558179923585,2879,1.0,0.5474122959360889,0.4567558179923585,0.4807224730809308,0.5141272743185553,0.5432441820076416
EURAUD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,0.0,0.0924092409240924,303,0.66996699669967,0.6262446985063618,0.7247372303153237,0.2028531221585211,0.6171617161716172,0.2380527359770416,0.6237623762376238,0.6035404757514291,0.3828382838283828,130,0.429042904290429,0.8,0.3,0.7461538461538462,0.7032967032967032,0.7
EURCAD,direction,4,fomc,extra_trees,0.5207446561335918,0.5,False,0.0270174191254888,0.0824742268041237,2813,0.5343050124422325,0.5189800520276184,0.5259986142176407,0.2484432241627895,0.4777817276928546,0.2500180332705312,0.4802701741912549,0.482185909591883,0.4777817276928546,2813,1.0,0.5343050124422325,0.4777817276928546,0.4802701741912549,0.5189800520276184,0.4777817276928546
EURCAD,high_volatility,72,fomc,logistic,0.6278744931303362,0.65,False,-0.0338682432432432,0.1182432432432432,296,0.6452702702702703,0.6343167701863355,0.6891013198757764,0.2233425613981972,0.6216216216216216,0.2357205771844659,0.597972972972973,0.5753105590062112,0.3783783783783784,75,0.2533783783783784,0.7733333333333333,0.3866666666666666,0.6933333333333334,0.7578710644677662,0.6133333333333333
