task,horizon,bundle,model,accuracy,balanced_accuracy,ba_std,auc,brier,baseline_brier,majority_accuracy,persistence_balanced_accuracy,evaluations,selection_score
high_volatility,24,context,catboost,0.6746722118523862,0.5708897352505641,0.029710106976854157,0.6722602446772673,0.20748802485083068,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.556034681762137
high_volatility,24,cot_exploratory,hist_boost,0.6672759962298399,0.5689362762613076,0.02633681286842058,0.6649180285770308,0.20976224110551897,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5557678698270974
high_volatility,24,context,xgboost,0.6744221836399891,0.5688647867388761,0.02820978512461484,0.6716506575121092,0.2077525364051936,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5547598941765687
high_volatility,4,price,extra_trees,0.7404859593747997,0.5865260378700808,0.06553000200812541,0.7246719959775467,0.1732473119527688,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5537610368660182
high_volatility,24,cot_exploratory,xgboost,0.6684139745375447,0.5651083190147778,0.028895098752076773,0.6673310192781784,0.20917094194489996,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5506607696387393
high_volatility,4,price,catboost,0.7390550523255757,0.580579482906508,0.060415338004087445,0.7267070451025575,0.17293777771611987,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5503718139044642
high_volatility,4,price,hist_boost,0.7385534501349594,0.5785783373982787,0.05851962685511437,0.726485287675444,0.17296270562392962,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5493185239707215
high_volatility,4,price,xgboost,0.7383413639420723,0.5776834828623472,0.057783817267854504,0.7256093664816958,0.17318023713620218,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.54879157422842
high_volatility,24,cot_exploratory,catboost,0.6671263250452856,0.5646741260851585,0.03181588014751149,0.6665825096443222,0.20989076299394024,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5487661860114028
high_volatility,24,fomc,extra_trees,0.6728564555868866,0.5520939038933147,0.02579957356055818,0.6642080254807068,0.20950217904517873,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5391941171130356
high_volatility,24,context,extra_trees,0.6706259197780501,0.5485894554145709,0.027190622580170253,0.6609639381886832,0.20984310498914077,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5349941441244858
high_volatility,24,cot_exploratory,extra_trees,0.6699384474928587,0.5446490006281953,0.02584328806952844,0.6609498866061757,0.2102354146537669,0.2260177241119404,0.6560560565462276,0.5910264791113223,14,0.5317273565934311
high_volatility,4,price,logistic,0.7283851723180154,0.5518657433823554,0.04919364760558946,0.7039817859903563,0.1777424528230815,0.20105468766011872,0.7214559028730632,0.5730619133887164,14,0.5272689195795607
direction,4,fomc,extra_trees,0.5207314187490797,0.5207446561335918,0.011545208995628133,0.5291147430342694,0.249331360631626,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5149720516357778
direction,4,cot_exploratory,catboost,0.5189002564929527,0.5187973555225301,0.009500924659751298,0.5254124039053948,0.2496031741546483,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5140468931926545
direction,4,cot_exploratory,extra_trees,0.5185031333407116,0.5185328947664555,0.01085978580267716,0.5285221644572101,0.24936248123440924,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5131030018651169
direction,4,context,catboost,0.5174176400972432,0.5173481584769312,0.00885686885664081,0.5257413038345221,0.2495743864714063,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5129197240486107
direction,4,context,extra_trees,0.5185682203548502,0.5186849770294314,0.011754777918843839,0.5275156200467699,0.2494271975637941,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5128075880700095
direction,4,context,hist_boost,0.5173152688545074,0.5175102900567145,0.010891686618679225,0.5247332155918962,0.24979275122823133,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5120644467473748
direction,4,fomc,catboost,0.5160717049581847,0.5160993331356553,0.009038183772441269,0.5253034269423444,0.2495860041232327,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5115802412494346
direction,4,context,xgboost,0.5157739290759066,0.5158253019744999,0.008558817743687334,0.5240361218351272,0.2498517453919198,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5115458931026563
direction,4,cot_exploratory,xgboost,0.514528608931807,0.5145574420250012,0.0067978296610825845,0.5222457978131108,0.2500502699613637,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5111585271944599
direction,4,cot_exploratory,logistic,0.5156550484498277,0.5155116359772228,0.010181465029885765,0.5191217497545622,0.2528011096171719,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.51042090346228
direction,4,fomc,xgboost,0.514517233607004,0.5144275382456147,0.009748609070415902,0.5226284917420544,0.2499358584881195,0.2500027127771835,0.501442489342705,0.493640256139987,14,0.5095532337104067
direction,72,cot_exploratory,extra_trees,0.5170584041835667,0.5173120265825882,0.01593370468388028,0.525769297846141,0.25122656602453464,0.25001922614530725,0.4997820819368603,0.4936196214638246,14,0.5093451742406481
