task,symbol,year,balanced_accuracy
high_volatility,GBPCHF,2024,0.7777777777777777
high_volatility,GBPCHF,2025,0.7505494505494505
high_volatility,GBPCHF,2026,0.54375
high_volatility,GBPJPY,2023,0.6923076923076923
high_volatility,GBPJPY,2024,0.6731884057971014
high_volatility,GBPJPY,2025,0.5244360902255639
high_volatility,GBPJPY,2026,0.7098150782361309
high_volatility,GBPNZD,2023,0.5338393421884883
high_volatility,GBPNZD,2024,0.5269230769230769
high_volatility,GBPNZD,2025,0.5416666666666666
high_volatility,GBPNZD,2026,0.661904761904762
high_volatility,GBPUSD,2023,0.5974999999999999
high_volatility,GBPUSD,2024,0.611322188449848
high_volatility,GBPUSD,2025,0.5942760942760943
high_volatility,GBPUSD,2026,0.6147642679900744
high_volatility,NZDCAD,2023,0.6412280701754386
high_volatility,NZDCAD,2024,0.5491582491582492
high_volatility,NZDCAD,2025,0.5549999999999999
high_volatility,NZDCAD,2026,0.6548387096774193
high_volatility,NZDCHF,2023,0.5777777777777777
high_volatility,NZDCHF,2024,0.5831918505942275
high_volatility,NZDCHF,2025,0.6073684210526316
high_volatility,NZDCHF,2026,0.5632258064516129
high_volatility,NZDJPY,2023,0.5724358974358974
high_volatility,NZDJPY,2024,0.6809006211180124
high_volatility,NZDJPY,2025,0.5899321266968326
high_volatility,NZDJPY,2026,0.6285714285714286
high_volatility,NZDUSD,2023,0.495
high_volatility,NZDUSD,2024,0.5680147058823529
high_volatility,NZDUSD,2025,0.5862499999999999
high_volatility,NZDUSD,2026,0.6354166666666666
high_volatility,USDCAD,2023,0.5617021276595745
high_volatility,USDCAD,2024,0.5945083014048531
high_volatility,USDCAD,2025,0.6002747252747254
high_volatility,USDCAD,2026,0.5857142857142857
high_volatility,USDCHF,2023,0.6301793444650587
high_volatility,USDCHF,2024,0.6418181818181818
high_volatility,USDCHF,2025,0.5373181530676787
high_volatility,USDCHF,2026,0.5861111111111111
high_volatility,USDJPY,2023,0.6243872549019608
high_volatility,USDJPY,2024,0.551948051948052
high_volatility,USDJPY,2025,0.5706249999999999
high_volatility,USDJPY,2026,0.5267379679144385
