symbol,task,horizon,bundle,model,fold,n,accuracy,balanced_accuracy,auc,brier,majority_accuracy,baseline_brier,persistence_accuracy,persistence_balanced_accuracy,positive_rate
EURUSD,direction,4,cot_exploratory,xgboost,1,6105,0.5190827190827191,0.5188152337817751,0.5305998958942629,0.24951532124346198,0.5028665028665029,0.24999496767422666,0.4846846846846847,0.4846752598618721,0.5028665028665029
EURUSD,high_volatility,4,price,logistic,1,6105,0.7220311220311221,0.5394241833940912,0.7753529526383541,0.1677874620841325,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,price,hist_boost,1,6105,0.7384111384111384,0.5815596853796384,0.7931799429519504,0.1622546662397902,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,price,extra_trees,1,6105,0.743980343980344,0.6138944852676642,0.7928275286513877,0.16172048218931317,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,price,catboost,1,6105,0.742014742014742,0.593676224744736,0.7935869788430622,0.1620019501404733,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,price,xgboost,1,6105,0.7362817362817363,0.5768134499364237,0.7932725764426534,0.16216528231353233,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,context,logistic,1,6105,0.741031941031941,0.6113149937841681,0.8022865175532259,0.1588248351361643,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,context,hist_boost,1,6105,0.7613431613431614,0.6375348015686901,0.8146841086360411,0.15454794883903267,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,context,extra_trees,1,6105,0.7559377559377559,0.6221005257853298,0.8088475422122479,0.1565914701326667,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,context,catboost,1,6105,0.7595413595413596,0.627708298647748,0.8123859971250136,0.1556591142094094,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,context,xgboost,1,6105,0.7593775593775594,0.628278674102906,0.8124236807704166,0.15539940822150394,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,fomc,logistic,1,6105,0.7393939393939394,0.6058853319495864,0.8019788772006854,0.15900180852918885,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,fomc,hist_boost,1,6105,0.7601965601965602,0.6365602132132779,0.814643798952631,0.1544926301170383,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,fomc,extra_trees,1,6105,0.7575757575757576,0.6258173543297327,0.8096357475201009,0.15619502943211752,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,fomc,catboost,1,6105,0.7585585585585586,0.6266771848242314,0.8127557432764236,0.15533672587743583,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,fomc,xgboost,1,6105,0.7603603603603604,0.6310226212166015,0.8131700664230055,0.15513641405631085,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,cot_exploratory,logistic,1,6105,0.7325143325143325,0.5846223022055043,0.7691883284165149,0.16948833121924034,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,cot_exploratory,hist_boost,1,6105,0.7587223587223587,0.6333007091878242,0.8142475298173485,0.1547150781300152,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
EURUSD,high_volatility,4,cot_exploratory,extra_trees,1,6105,0.7562653562653563,0.6228438914942104,0.8099724055926206,0.1561421563598101,0.7136773136773137,0.20446393413530906,0.6584766584766585,0.5822526311587812,0.2863226863226863
