task,symbol,fold,threshold,coverage,n,accuracy,balanced_accuracy
high_volatility,GBPUSD,1,0.5,1.0,328,0.6798780487804879,0.6434692844065287
high_volatility,GBPUSD,1,0.55,0.7682926829268293,252,0.7420634920634921,0.6728095815213517
high_volatility,GBPUSD,1,0.6,0.5853658536585366,192,0.7864583333333334,0.6989738455762733
high_volatility,GBPUSD,1,0.65,0.4420731707317073,145,0.8482758620689655,0.7471221221221221
high_volatility,GBPUSD,1,0.7,0.3231707317073171,106,0.8679245283018868,0.7378048780487805
high_volatility,GBPUSD,1,0.75,0.24695121951219512,81,0.8641975308641975,0.7470288624787775
high_volatility,GBPUSD,1,0.8,0.14634146341463414,48,0.9166666666666666,0.8
direction,USDJPY,0,0.5,1.0,2276,0.5136203866432337,0.5136437204446545
direction,USDJPY,0,0.55,0.343585237258348,782,0.5281329923273658,0.5250580653603323
direction,USDJPY,0,0.6,0.13005272407732865,296,0.5540540540540541,0.5540540540540541
direction,USDJPY,1,0.5,1.0,2725,0.5251376146788991,0.5247909016068412
direction,USDJPY,1,0.55,0.3530275229357798,962,0.5395010395010394,0.5280047383288279
direction,USDJPY,1,0.6,0.06568807339449541,179,0.5754189944134078,0.5569110884006132
high_volatility,USDJPY,0,0.5,1.0,239,0.6527196652719666,0.592414208308248
high_volatility,USDJPY,0,0.55,0.8410041841004184,201,0.6716417910447762,0.5909090909090909
high_volatility,USDJPY,0,0.6,0.6527196652719666,156,0.7307692307692307,0.6212092313560938
high_volatility,USDJPY,0,0.65,0.5355648535564853,128,0.765625,0.6346896346896347
high_volatility,USDJPY,0,0.7,0.40585774058577406,97,0.8144329896907216,0.6086956521739131
high_volatility,USDJPY,0,0.75,0.27615062761506276,66,0.8787878787878788,0.6363636363636364
high_volatility,USDJPY,0,0.8,0.1799163179916318,43,0.9534883720930233,0.6666666666666666
high_volatility,USDJPY,1,0.5,1.0,282,0.6985815602836879,0.6907991904162792
high_volatility,USDJPY,1,0.55,0.7730496453900709,218,0.7522935779816514,0.7385222381635581
high_volatility,USDJPY,1,0.6,0.574468085106383,162,0.7962962962962963,0.7730392156862745
high_volatility,USDJPY,1,0.65,0.450354609929078,127,0.8267716535433071,0.7922969187675071
high_volatility,USDJPY,1,0.7,0.3475177304964539,98,0.8571428571428571,0.8095983307250914
high_volatility,USDJPY,1,0.75,0.24113475177304963,68,0.9117647058823529,0.8511111111111112
high_volatility,USDJPY,1,0.8,0.16666666666666666,47,0.9148936170212766,0.8497474747474747
high_volatility,USDJPY,1,0.85,0.13120567375886524,37,0.918918918918919,0.8125
direction,AUDUSD,0,0.5,1.0,2144,0.5051305970149254,0.5089189389222912
direction,AUDUSD,0,0.55,0.08861940298507463,190,0.5631578947368421,0.5356019766397125
direction,AUDUSD,1,0.5,1.0,3056,0.5265052356020943,0.5274112366538554
direction,AUDUSD,1,0.55,0.09293193717277487,284,0.545774647887324,0.5302743614001892
high_volatility,AUDUSD,0,0.5,1.0,225,0.6755555555555556,0.625
high_volatility,AUDUSD,0,0.55,0.8,180,0.6722222222222223,0.5958333333333333
high_volatility,AUDUSD,0,0.6,0.6,135,0.674074074074074,0.5871821484172288
high_volatility,AUDUSD,0,0.65,0.3688888888888889,83,0.7590361445783133,0.6456521739130435
high_volatility,AUDUSD,0,0.7,0.2222222222222222,50,0.82,0.6625000000000001
high_volatility,AUDUSD,0,0.75,0.14666666666666667,33,0.9090909090909091,0.7327586206896552
high_volatility,AUDUSD,1,0.5,1.0,321,0.6479750778816199,0.610343992248062
high_volatility,AUDUSD,1,0.55,0.794392523364486,255,0.6980392156862745,0.652258064516129
high_volatility,AUDUSD,1,0.6,0.5950155763239875,191,0.7696335078534031,0.7128069330765527
high_volatility,AUDUSD,1,0.65,0.4392523364485981,141,0.8014184397163121,0.7122926093514328
high_volatility,AUDUSD,1,0.7,0.3115264797507788,100,0.86,0.7757483510908167
high_volatility,AUDUSD,1,0.75,0.2118380062305296,68,0.8529411764705882,0.7690655209452202
high_volatility,AUDUSD,1,0.8,0.13395638629283488,43,0.9069767441860465,0.8186274509803921
